product_sku,version,step_no,step_name,temperature_c,target_ph,viscosity_cp,mix_time_min,rpm,notes
HH-064,v1.0,3,CAPB Addition,25,,,,150,Incorporate CAPB; mix to clarity
HH-064,v1.0,4,Salt Thickening,25,,2000,10,100,Add NaCl solution to achieve viscosity target
HH-064,v1.0,5,QC & Drum Filling,25,6.8,2500,5,80,Verify pH and viscosity; fill 20 L drums
HH-065,v1.0,1,Water Charging,25,,,10,80,Charge demineralised water into industrial mixing tank
HH-065,v1.0,2,QUAT Broad-Spectrum Active Addition,25,,,,150,Add QUAT concentrate (DDAC/BZK blend); mix to homogeneity
HH-065,v1.0,3,pH Adjustment,25,7.0,,,5,100,Adjust pH to 6.5–7.5 for broad-spectrum efficacy
HH-065,v1.0,4,QC & Drum Filling,25,7.0,,,5,80,Titrate QUAT level; approve batch; fill 20 L drums
PC-001,v1.0,1,Humectant Premix,25,,,10,30,Pre-blend glycerin and sorbitol in premix vessel
PC-001,v1.0,2,Calcium Carbonate Abrasive Addition,25,,,20,40,Add CaCO3 slowly to humectant base; high viscosity mix
PC-001,v1.0,3,Binder & Thickener Incorporation,25,,80000,15,30,Add CMC or carrageenan; mix to smooth paste – low RPM critical
PC-001,v1.0,4,Fluoride & Preservative Addition,25,,,,20,Add sodium fluoride and preservative; mix thoroughly at low shear
PC-001,v1.0,5,Whitening Agent & Flavour,25,7.0,80000,10,20,Add hydrogen peroxide source or Perlite; incorporate mint flavour
PC-002,v1.0,1,Water Charging,25,7,,,50,Charge demineralised water
PC-002,v1.0,2,SLES Addition,25,,,,200,Add SLES 70% paste; mix to full dissolution
PC-002,v1.0,3,CAPB & Panthenol Addition,25,,,,150,Incorporate CAPB and vitamin B5 (panthenol)
PC-002,v1.0,4,NaCl Thickening,25,,4000,10,80,Add NaCl to reach viscosity 3500–4500 cP
PC-002,v1.0,5,Fragrance & Preservative,25,5.5,4000,8,60,Add hair fragrance and preservative; pH 5.0–6.0
PC-003,v1.0,1,Water Charging,25,7,,,50,Charge demineralised water
PC-003,v1.0,2,SLES Addition,25,,,,200,Add SLES 70% slowly
PC-003,v1.0,3,CAPB & Panthenol Addition,25,,,,150,Incorporate CAPB and panthenol
PC-003,v1.0,4,NaCl Thickening,25,,4000,10,80,Add NaCl; monitor viscosity
PC-003,v1.0,5,Fragrance & Preservative,25,5.5,4000,8,60,Add fragrance and preservative; pH 5.0–6.0
PC-004,v1.0,1,Water Charging,25,7,,,50,Charge demineralised water; baby-grade purity required
PC-004,v1.0,2,Mild Surfactant Addition,25,,,,150,Add CAPB as primary surfactant; gentle no-tear formulation
PC-004,v1.0,3,Glycerin & Mild Conditioner,25,,,,100,Add glycerin and polyquaternium conditioner
PC-004,v1.0,4,pH Adjustment,25,6.5,,,5,80,Adjust pH to 6.0–7.0; tear-free range
PC-004,v1.0,5,Baby-Safe Preservative & QC,25,6.5,2000,8,60,Add baby-grade preservative; no fragrance; final QC
PC-005,v1.0,1,Water Charging,25,7,,,50,Charge demineralised water; baby-grade purity
PC-005,v1.0,2,Mild CAPB Surfactant Addition,25,,,,150,Add CAPB as primary; no-tear formulation
PC-005,v1.0,3,Glycerin & Conditioner,25,,,,100,Add glycerin and mild conditioner
PC-005,v1.0,4,pH Adjustment,25,6.5,,,5,80,Adjust pH to 6.0–7.0
PC-005,v1.0,5,Baby-Safe Preservative & QC,25,6.5,2000,8,60,Add baby-grade preservative; no fragrance; final QC
PC-006,v1.0,1,Water Charging,25,7,,,10,60,Charge demineralised water
PC-006,v1.0,2,SLES Addition,25,,,,200,Add SLES 70% slowly
PC-006,v1.0,3,CAPB & Glycerin Addition,25,,,,150,Incorporate CAPB and glycerin for moisturizing effect
PC-006,v1.0,4,NaCl Thickening,25,,3000,10,80,Add NaCl to target viscosity
PC-006,v1.0,5,Fragrance & Preservative,25,5.5,3000,8,60,Add shower gel fragrance and preservative; pH 5.0–6.0
PC-007,v1.0,1,Water Charging,25,7,,,10,60,Charge demineralised water
PC-007,v1.0,2,SLES Addition,25,,,,200,Add SLES 70% slowly
PC-007,v1.0,3,CAPB & Glycerin Addition,25,,,,150,Incorporate CAPB and glycerin
PC-007,v1.0,4,NaCl Thickening,25,,3000,10,80,Add NaCl; monitor viscosity
PC-007,v1.0,5,Fragrance & Preservative,25,5.5,3000,8,60,Add fragrance and preservative; pH 5.0–6.0
PC-008,v1.0,1,Water Charging,25,7,,,10,60,Charge demineralised water into bulk vessel
PC-008,v1.0,2,SLES Addition,25,,,,200,Add SLES 70% slowly; industrial quantity
PC-008,v1.0,3,CAPB & Glycerin Addition,25,,,,150,Incorporate CAPB and glycerin
PC-008,v1.0,4,NaCl Thickening,25,,3000,10,80,Add NaCl; monitor viscosity
PC-008,v1.0,5,QC & Drum Filling,25,5.5,3000,5,60,pH and viscosity QC; fill 20 L drums
PC-009,v1.0,1,Ethanol Charging,25,,,5,60,Charge pharmaceutical-grade ethanol (70%) into SS vessel; ventilation required
PC-009,v1.0,2,Glycerin & Carbomer Addition,25,,,15,100,Add glycerin and Carbomer 940; disperse fully before neutralisation
PC-009,v1.0,3,Triethanolamine Neutralisation,25,6.5,2000,10,60,Add TEA dropwise to pH 6.0–7.0; gel structure forms
PC-010,v1.0,1,Water Phase Heating,75,,,20,100,Heat demineralised water to 75 °C in jacketed vessel
PC-010,v1.0,2,Cationic Conditioner Addition,70,,,20,200,Add CETAC or BTMS-50 to hot water; mix until dissolved
PC-010,v1.0,3,Cooling to 40 °C,40,,6000,15,150,Reduce temperature with continued agitation; viscosity develops
PC-010,v1.0,4,Glycerin & Panthenol Addition,35,,,10,100,Incorporate glycerin and panthenol at ≤40 °C
PC-010,v1.0,5,Fragrance & Preservative,30,4.5,6000,8,60,Add hair fragrance and preservative; pH 4.0–5.0 for conditioner
PC-011,v1.0,1,Water Phase Heating,75,,,20,100,Heat demineralised water to 75 °C
PC-011,v1.0,2,Cationic Conditioner Addition,70,,,20,200,Add CETAC to hot water
PC-011,v1.0,3,Cooling to 40 °C,40,,6000,15,150,Cool with stirring; viscosity develops
PC-011,v1.0,4,Glycerin & Panthenol Addition,35,,,10,100,Add glycerin and panthenol
PC-011,v1.0,5,Fragrance & Preservative,30,4.5,6000,8,60,Add fragrance and preservative; pH 4.0–5.0
PC-012,v1.0,1,Water Phase Heating,75,,,20,100,Heat demineralised water to 75 °C in bulk vessel
PC-012,v1.0,2,Cationic Conditioner Addition,70,,,20,200,Add CETAC at industrial scale
PC-012,v1.0,3,Cooling to 40 °C,40,,6000,15,150,Cool with continuous agitation
PC-012,v1.0,4,Glycerin Addition,35,,,10,100,Incorporate glycerin
PC-012,v1.0,5,QC & Drum Filling,30,4.5,6000,5,60,pH and viscosity QC; fill 20 L drums
PC-013,v1.0,1,Humectant Premix,25,,,10,30,Pre-blend glycerin and sorbitol
PC-013,v1.0,2,CaCO3 Abrasive Addition,25,,,20,40,Add calcium carbonate to humectant base; form smooth paste
PC-013,v1.0,3,Binder Incorporation,25,,80000,15,30,Add CMC binder; mix to smooth toothpaste texture
PC-013,v1.0,4,Fluoride & Preservative,25,,,,20,Add sodium fluoride and preservative at low shear
PC-013,v1.0,5,Mint Flavour & QC,25,7.0,80000,8,20,Add mint flavour; check viscosity and fluoride content; fill tubes
PC-014,v1.0,1,Water Charging,25,7,,,10,60,Charge demineralised water
PC-014,v1.0,2,Mild SLES & CAPB Addition,25,,,,150,Add surfactants at low concentration for gentle facial formula
PC-014,v1.0,3,Glycerin & Aloe Vera Addition,25,,,,100,Incorporate glycerin and aloe vera extract
PC-014,v1.0,4,Fragrance & Preservative,25,5.5,,8,80,Add mild fragrance and preservative; adjust pH to 5.0–6.0
PC-015,v1.0,1,Water Charging,25,7,,,10,60,Charge demineralised water
PC-015,v1.0,2,Mild SLES & CAPB Addition,25,,,,150,Add surfactants; mild concentration for facial use
PC-015,v1.0,3,Glycerin & Aloe Vera Addition,25,,,,100,Incorporate glycerin and aloe vera
PC-015,v1.0,4,Fragrance & Preservative,25,5.5,,8,80,Add mild fragrance and preservative; pH 5.0–6.0
PC-016,v1.0,1,Water Phase Preparation,75,,,10,80,Heat water phase (water + glycerin + aloe vera + preservative) to 75 °C
PC-016,v1.0,2,Oil Phase Preparation,75,,,10,60,Melt emulsifier and oils separately to 75 °C
PC-016,v1.0,3,Emulsification,70,,5000,20,800,Add oil phase to water phase under high-shear; stable emulsion forms
PC-016,v1.0,4,Cooling with Agitation,35,,5000,20,400,Cool to 35 °C under continued stirring; maintain emulsion stability
PC-016,v1.0,5,Fragrance & Active Addition,30,5.5,5000,10,200,Add fragrance and skin actives at ≤35 °C; pH 5.0–6.0
PC-017,v1.0,1,Water Phase Preparation,75,,,10,80,Heat water phase to 75 °C
PC-017,v1.0,2,Oil Phase Preparation,75,,,10,60,Melt emulsifier and oils to 75 °C
PC-017,v1.0,3,Emulsification,70,,5000,20,800,Add oil to water phase under high-shear
PC-017,v1.0,4,Cooling with Agitation,35,,5000,20,400,Cool to 35 °C under stirring
PC-017,v1.0,5,Fragrance & Active Addition,30,5.5,5000,10,200,Add fragrance and actives; pH 5.0–6.0
PC-018,v1.0,1,Water Phase Heating,75,,,10,80,Heat water phase to 75 °C in jacketed vessel
PC-018,v1.0,2,Stearate & Fatty Acid Addition,70,,,15,100,Add stearic acid and palm kernel oil to hot water phase; dissolve fully
PC-018,v1.0,3,Saponification with KOH/TEA,70,8.5,,,20,80,Add potassium hydroxide or TEA to saponify fatty acids; monitor pH
PC-018,v1.0,4,Cooling & Glycerin Addition,35,,,15,60,Cool to 35 °C; incorporate glycerin and skin emollients
PC-018,v1.0,5,Fragrance & QC,30,8.0,,10,40,Add men's fragrance; verify foam density and pH
PC-019,v1.0,1,Water Phase Preparation,75,,,10,80,Heat water phase with glycerin and aloe vera to 75 °C
PC-019,v1.0,2,Oil Phase Preparation,75,,,10,60,Melt emulsifier and lightweight skin oils to 75 °C
PC-019,v1.0,3,Emulsification,70,,3000,20,800,Add oil phase to water under high-shear; thin lotion emulsion
PC-019,v1.0,4,Cooling,35,,3000,20,400,Cool to 35 °C under continued agitation
PC-019,v1.0,5,Fragrance & Preservative,30,5.5,3000,10,200,Add lotion fragrance and preservative; pH 5.0–6.0
PC-020,v1.0,1,Water Phase Preparation,75,,,10,80,Heat water phase to 75 °C
PC-020,v1.0,2,Oil Phase Preparation,75,,,10,60,Melt emulsifier and skin oils to 75 °C
PC-020,v1.0,3,Emulsification,70,,3000,20,800,Add oil to water under high-shear
PC-020,v1.0,4,Cooling,35,,3000,20,400,Cool to 35 °C under agitation
PC-020,v1.0,5,Fragrance & Preservative,30,5.5,3000,10,200,Add fragrance and preservative; pH 5.0–6.0
PC-021,v1.0,1,CHG Solution Preparation,25,6.0,,,15,150,Prepare chlorhexidine gluconate 0.5% aqueous solution; verify concentration
PC-021,v1.0,2,Substrate Impregnation,25,,,5,30,Saturate spunlace substrate at target wet weight ratio (350%)
PC-021,v1.0,3,Folding & Stacking,25,,,,,Stack 50 wipes per pack; maintain sterile-area conditions
PC-021,v1.0,4,Packaging & Sealing,25,,,,, Heat-seal foil pouch; verify seal; apply lot number and expiry
PC-022,v1.0,1,CHG Solution Preparation,25,6.0,,,15,150,Prepare CHG 0.5% solution; verify active concentration
PC-022,v1.0,2,Substrate Impregnation,25,,,5,30,Saturate spunlace at target wet weight ratio (350%)
PC-022,v1.0,3,Folding & Stacking,25,,,,,Stack 100 wipes per pack
PC-022,v1.0,4,Packaging & Sealing,25,,,,, Heat-seal pouch; verify seal; label and date-code
PC-023,v1.0,1,Impregnation Solution Prep,25,7.0,,,15,150,Prepare mildly preserved aqueous solution for flushable wipes
PC-023,v1.0,2,Biodegradable Substrate Impregnation,25,,,5,30,Impregnate viscose substrate; confirm flushability compliant with GD4
PC-023,v1.0,3,Folding & Stacking,25,,,,,Stack 50 wipes per pack
PC-023,v1.0,4,Packaging & Sealing,25,,,,, Seal in resealable pack; verify GD4 flushability compliance
PC-024,v1.0,1,Impregnation Solution Prep,25,7.0,,,15,150,Prepare preserved aqueous solution
PC-024,v1.0,2,Biodegradable Substrate Impregnation,25,,,5,30,Impregnate viscose substrate; 80-wipe saturation ratio
PC-024,v1.0,3,Folding & Stacking,25,,,,,Stack 80 wipes per pack
PC-024,v1.0,4,Packaging & Sealing,25,,,,, Seal in resealable pack; verify flushability
PC-025,v1.0,1,Baby Impregnation Solution Prep,25,5.5,,,15,100,Prepare alcohol-free aloe vera solution with baby-safe preservative
PC-025,v1.0,2,Ultra-Soft Substrate Impregnation,25,,,5,20,Saturate ultra-soft spunlace at gentle saturation ratio (400%)
PC-025,v1.0,3,Folding & Stacking,25,,,,,Stack 48 wipes per pack; QC for softness and wetness
PC-025,v1.0,4,Packaging & Sealing,25,,,,, Heat-seal resealable pack; apply lot number and expiry; allergen check
PC-026,v1.0,1,Baby Impregnation Solution Prep,25,5.5,,,15,100,Prepare alcohol-free aloe vera solution with baby-safe preservative
PC-026,v1.0,2,Ultra-Soft Substrate Impregnation,25,,,5,20,Saturate ultra-soft spunlace; 72-wipe saturation ratio
PC-026,v1.0,3,Folding & Stacking,25,,,,,Stack 72 wipes per pack; QC for softness and wetness
PC-026,v1.0,4,Packaging & Sealing,25,,,,, Heat-seal resealable pack; apply lot number and expiry; allergen check
